City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
Oxnard,"207,221",358,237,121
Pacifica,"39,531",35,33,2
Pacific Grove,"15,734",24,14,10
Palm Springs,"47,388",117,81,36
Palo Alto,"67,560",142,85,57
Palos Verdes Estates,"13,739",35,29,6
Paradise,"26,514",31,19,12
Parlier,"15,106",13,12,1
Pasadena,"141,815",333,221,112
Paso Robles,"31,659",46,32,14
Petaluma,"60,450",80,59,21
Piedmont,"11,372",27,19,8
Pinole,"19,284",35,23,12
Pismo Beach,"7,998",31,19,12
Pittsburg,"69,340",96,76,20
Placentia,"52,753",62,46,16
Placerville,"10,601",22,15,7
Pleasant Hill,"34,829",55,40,15
Pleasanton,"79,611",111,79,32
Pomona,"154,410",253,154,99
Porterville,"55,760",80,56,24
Port Hueneme,"22,249",29,21,8
Red Bluff,"14,045",32,22,10
Redding,"92,020",129,98,31
Redlands,"71,078",115,79,36
Redondo Beach,"68,492",139,85,54
Redwood City,"84,415",113,88,25
Reedley,"25,711",42,27,15
Rialto,"103,590",139,105,34
Richmond,"109,716",265,177,88
Ridgecrest,"28,989",48,32,16
Rio Dell,"3,378",5,5,0
Rio Vista,"8,250",12,11,1
Ripon,"15,126",32,23,9
Riverside,"323,064",515,368,147
Rocklin,"61,105",81,54,27
Rohnert Park,"42,622",79,59,20
Roseville,"131,039",187,128,59
Ross,"2,500",8,8,0
Sacramento,"489,717",949,646,303
Salinas,"158,185",175,122,53
San Bernardino,"216,477",394,214,180
San Bruno,"43,499",62,47,15
Sand City,339,10,9,1
San Diego,"1,400,467","2,545","1,887",658
San Fernando,"24,823",32,28,4
San Francisco,"863,782","2,711","2,236",475
San Gabriel,"40,714",65,50,15
Sanger,"24,933",32,28,4
San Jose,"1,031,458","1,325",939,386
San Leandro,"90,438",134,91,43
San Luis Obispo,"47,116",83,59,24
San Marino,"13,491",29,25,4
San Mateo,"104,306",143,109,34
San Pablo,"30,290",65,48,17
San Rafael,"59,598",86,63,23
San Ramon,"76,081",81,65,16
Santa Ana,"337,304",527,302,225
Santa Barbara,"91,877",199,128,71
Santa Clara,"123,562",200,143,57
Santa Cruz,"64,076",111,91,20
Santa Maria,"104,355",163,114,49
Santa Monica,"93,796",373,203,170
Santa Paula,"30,710",36,28,8
Santa Rosa,"175,738",241,163,78
Sausalito,"7,182",23,18,5
Scotts Valley,"11,926",28,20,8
Seal Beach,"24,800",46,31,15
Seaside,"34,459",47,37,10
Sebastopol,"7,725",19,14,5
Selma,"24,532",42,33,9
Shafter,"17,690",33,22,11
Sierra Madre,"11,226",18,15,3
Signal Hill,"11,655",44,32,12
Simi Valley,"127,472",178,122,56
Soledad,"25,170",19,17,2
Sonora,"4,779",19,13,6
South Gate,"96,775",118,78,40
South Lake Tahoe,"21,558",51,35,16
South Pasadena,"26,287",43,31,12
South San Francisco,"67,843",110,81,29
Stallion Springs,"2,611",3,3,0
St. Helena,"6,028",17,12,5
Stockton,"304,890",571,389,182
Suisun City,"29,539",29,19,10
Sunnyvale,"152,443",284,214,70
Susanville,"15,045",17,15,2
Sutter Creek,"2,457",4,4,0
Taft,"8,819",80,72,8
Tehachapi,"12,971",18,15,3
Tiburon,"9,288",16,13,3
Torrance,"149,243",314,212,102
Tracy,"86,477",122,83,39
Truckee,"16,331",34,24,10
Tulare,"62,475",109,71,38
Tulelake,983,3,3,0
Turlock,"71,895",111,74,37
Tustin,"81,953",140,91,49
Ukiah,"15,969",49,32,17
Union City,"74,648",97,73,24
Upland,"76,581",91,67,24
Vacaville,"96,693",149,96,53
Vallejo,"121,257",145,108,37
Ventura,"110,077",165,126,39
Vernon,115,49,37,12
Visalia,"130,405",202,138,64
Walnut Creek,"68,530",111,81,30
Watsonville,"53,581",88,66,22
Weed,"2,836",14,9,5
West Covina,"109,030",150,89,61
Westminster,"92,640",119,86,33
Westmorland,"2,278",5,5,0
West Sacramento,"52,622",76,58,18
Wheatland,"3,482",7,7,0
Whittier,"87,807",169,118,51
Williams,"5,205",12,10,2
Willits,"4,856",16,11,5
Willows,"6,074",9,8,1
Winters,"7,023",13,11,2
Woodlake,"7,751",13,12,1
Woodland,"57,911",77,62,15
Yreka,"7,507",19,13,6
Yuba City,"65,974",78,54,24
