State/Tribal/Other,Agency,Unit/Office,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Other Agencies,Union Pacific Railroad,Madera County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Marin County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Mendocino County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Merced County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Modoc County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Monterey County4,0.0,0.0,0.0,,0.0,0.0,2,0.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Napa County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Nevada County4,0.0,0.0,0.0,,0.0,0.0,2,0.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Orange County4,0.0,0.0,0.0,,0.0,0.0,3,0.0,3,0,0.0
Other Agencies,Union Pacific Railroad,Placer County4,0.0,0.0,0.0,,0.0,0.0,12,4.0,8,0,2.0
Other Agencies,Union Pacific Railroad,Plumas County4,0.0,0.0,0.0,,0.0,0.0,4,0.0,4,0,0.0
Other Agencies,Union Pacific Railroad,Riverside County4,2.0,0.0,0.0,,0.0,2.0,20,2.0,18,0,1.0
Other Agencies,Union Pacific Railroad,Sacramento County4,0.0,0.0,0.0,,0.0,0.0,13,2.0,11,0,0.0
Other Agencies,Union Pacific Railroad,San Benito County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,San Bernardino County4,1.0,0.0,0.0,,0.0,1.0,45,10.0,35,0,1.0
Other Agencies,Union Pacific Railroad,San Francisco County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,San Joaquin County4,0.0,0.0,0.0,,0.0,0.0,84,56.0,28,0,0.0
Other Agencies,Union Pacific Railroad,San Luis Obispo County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,San Mateo County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Santa Barbara County4,0.0,0.0,0.0,,0.0,0.0,2,0.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Santa Clara County4,0.0,0.0,0.0,,0.0,0.0,3,1.0,2,0,0.0
Other Agencies,Union Pacific Railroad,Santa Cruz County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Shasta County4,0.0,0.0,0.0,,0.0,0.0,11,0.0,11,0,0.0
Other Agencies,Union Pacific Railroad,Sierra County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Siskiyou County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Solano County4,0.0,0.0,0.0,,0.0,0.0,3,0.0,3,0,0.0
Other Agencies,Union Pacific Railroad,Sonoma County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Stanislaus County4,0.0,0.0,0.0,,0.0,0.0,6,1.0,5,0,0.0
Other Agencies,Union Pacific Railroad,Sutter County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Tehama County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Trinity County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Tulare County4,0.0,0.0,0.0,,0.0,0.0,2,1.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Ventura County4,2.0,0.0,0.0,,0.0,2.0,0,0.0,0,0,0.0
Other Agencies,Union Pacific Railroad,Yolo County4,0.0,0.0,0.0,,0.0,0.0,1,0.0,1,0,0.0
Other Agencies,Union Pacific Railroad,Yuba County4,0.0,0.0,0.0,,0.0,0.0,0,0.0,0,0,0.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
